dataset,model_cls,one_hot_encoding,test_score
57,HCLT w. hidden vars: 141,False,0.961038961038961
57,KNeighborsClassifier,False,0.9675324675324676
57,LogisticRegression,False,0.8636363636363636
57,RSPN depth 1,False,0.961038961038961
57,RSPN depth 10,False,0.987012987012987
57,RSPN depth 5,False,0.987012987012987
57,RandomForestClassifier,False,0.9675324675324676
57,pc linear depth 10,False,0.9415584415584416
57,pc linear depth 2,False,0.9545454545454546
57,pc linear depth 5,False,0.948051948051948
60,DecisionTreeClassifier,False,0.9675324675324676
60,HCLT w. hidden vars: 13,False,0.8766233766233766
60,HCLT w. hidden vars: 141,False,0.8701298701298701
60,KNeighborsClassifier,False,0.9675324675324676
60,LogisticRegression,False,0.8116883116883117
60,RSPN depth 1,False,0.974025974025974
60,RSPN depth 10,False,0.9545454545454546
60,RSPN depth 5,False,0.9545454545454546
60,RandomForestClassifier,False,0.9805194805194806
60,pc linear depth 10,False,0.8701298701298701
60,pc linear depth 2,False,0.8506493506493507
60,pc linear depth 5,False,0.8506493506493507
65,DecisionTreeClassifier,False,1.0
65,HCLT w. hidden vars: 13,False,0.8441558441558441
65,HCLT w. hidden vars: 141,False,0.7272727272727273
65,KNeighborsClassifier,False,0.9545454545454546
65,LogisticRegression,False,0.8181818181818182
65,RSPN depth 1,False,0.9935064935064936
65,RSPN depth 10,False,0.9935064935064936
65,RSPN depth 5,False,0.9935064935064936
65,RandomForestClassifier,False,0.9805194805194806
65,pc linear depth 10,False,0.9545454545454546
65,pc linear depth 2,False,0.9415584415584416
65,pc linear depth 5,False,0.9285714285714286
68,DecisionTreeClassifier,False,0.9675324675324676
68,HCLT w. hidden vars: 13,False,0.6753246753246753
68,HCLT w. hidden vars: 141,False,0.7402597402597403
68,KNeighborsClassifier,False,0.948051948051948
68,LogisticRegression,False,0.6688311688311688
68,RSPN depth 1,False,0.974025974025974
68,RSPN depth 10,False,0.9805194805194806
68,RSPN depth 5,False,0.9805194805194806
68,RandomForestClassifier,False,0.9675324675324676
68,pc linear depth 10,False,0.9090909090909091
68,pc linear depth 2,False,0.8961038961038961
68,pc linear depth 5,False,0.9025974025974026
69,DecisionTreeClassifier,False,0.974025974025974
69,HCLT w. hidden vars: 13,False,0.8636363636363636
69,HCLT w. hidden vars: 141,False,0.8701298701298701
69,KNeighborsClassifier,False,0.935064935064935
69,LogisticRegression,False,0.8311688311688312
69,RSPN depth 1,False,0.9545454545454546
69,RSPN depth 10,False,0.961038961038961
69,RSPN depth 5,False,0.961038961038961
69,RandomForestClassifier,False,0.974025974025974
69,pc linear depth 10,False,0.8896103896103896
69,pc linear depth 2,False,0.8961038961038961
69,pc linear depth 5,False,0.8896103896103896
70,DecisionTreeClassifier,False,0.9025974025974026
70,HCLT w. hidden vars: 13,False,0.551948051948052
70,HCLT w. hidden vars: 141,False,0.6428571428571429
70,KNeighborsClassifier,False,0.9285714285714286
70,LogisticRegression,False,0.7662337662337663
70,RSPN depth 1,False,0.9025974025974026
70,RSPN depth 10,False,0.9545454545454546
70,RSPN depth 5,False,0.9545454545454546
70,RandomForestClassifier,False,0.9285714285714286
70,pc linear depth 10,False,0.8766233766233766
70,pc linear depth 2,False,0.8311688311688312
70,pc linear depth 5,False,0.8571428571428571
81,DecisionTreeClassifier,False,0.9935064935064936
81,HCLT w. hidden vars: 13,False,0.8246753246753247
81,HCLT w. hidden vars: 141,False,0.8246753246753247
81,KNeighborsClassifier,False,0.9545454545454546
81,LogisticRegression,False,0.7532467532467533
81,RSPN depth 1,False,0.9415584415584416
81,RSPN depth 10,False,0.9545454545454546
81,RSPN depth 5,False,0.9545454545454546
81,RandomForestClassifier,False,0.9805194805194806
81,pc linear depth 10,False,0.8571428571428571
81,pc linear depth 2,False,0.8571428571428571
81,pc linear depth 5,False,0.8441558441558441
82,DecisionTreeClassifier,False,1.0
82,HCLT w. hidden vars: 13,False,1.0
82,HCLT w. hidden vars: 141,False,1.0
82,KNeighborsClassifier,False,1.0
82,LogisticRegression,False,0.974025974025974
82,RSPN depth 1,False,1.0
82,RSPN depth 10,False,1.0
82,RSPN depth 5,False,1.0
82,RandomForestClassifier,False,1.0
82,pc linear depth 10,False,0.9935064935064936
82,pc linear depth 2,False,0.9935064935064936
82,pc linear depth 5,False,0.987012987012987
85,DecisionTreeClassifier,False,1.0
85,HCLT w. hidden vars: 13,False,0.961038961038961
85,HCLT w. hidden vars: 141,False,0.7207792207792207
85,KNeighborsClassifier,False,0.987012987012987
85,LogisticRegression,False,0.7597402597402597
85,RSPN depth 1,False,1.0
85,RSPN depth 10,False,1.0
85,RSPN depth 5,False,1.0
85,RandomForestClassifier,False,1.0
85,pc linear depth 10,False,0.961038961038961
85,pc linear depth 2,False,0.9675324675324676
85,pc linear depth 5,False,0.9675324675324676
89,DecisionTreeClassifier,False,0.948051948051948
89,HCLT w. hidden vars: 13,False,0.7792207792207793
89,HCLT w. hidden vars: 141,False,0.7597402597402597
89,KNeighborsClassifier,False,0.9025974025974026
89,LogisticRegression,False,0.7272727272727273
89,RSPN depth 1,False,0.935064935064935
89,RSPN depth 10,False,0.961038961038961
89,RSPN depth 5,False,0.961038961038961
89,RandomForestClassifier,False,0.9675324675324676
89,pc linear depth 10,False,0.8181818181818182
89,pc linear depth 2,False,0.8506493506493507
89,pc linear depth 5,False,0.7922077922077922
adult,DecisionTreeClassifier,False,0.8263955234065784
adult,DecisionTreeClassifier,True,0.82339293025795
adult,HCLT w. hidden vars: 13,False,0.8243483008052409
adult,HCLT w. hidden vars: 141,False,0.8263955234065784
adult,KNeighborsClassifier,False,0.8197079295755425
adult,KNeighborsClassifier,True,0.8223010782039034
adult,LogisticRegression,False,0.7752149583731405
adult,LogisticRegression,True,0.8269414494336017
adult,RSPN depth 1,False,0.8276238569673809
adult,RSPN depth 10,False,0.8255766343660434
adult,RSPN depth 5,False,0.8255766343660434
adult,RandomForestClassifier,False,0.8268049679268459
adult,RandomForestClassifier,True,0.8295345980619626
adult,pc linear depth 10,False,0.8165688549201583
adult,pc linear depth 2,False,0.8169782994404258
adult,pc linear depth 5,False,0.819298485055275
bank,DecisionTreeClassifier,False,0.9001769389560602
bank,DecisionTreeClassifier,True,0.9007667354762607
bank,HCLT w. hidden vars: 13,False,0.9028310232969625
